Date/Time UTC,Name,MMSI,Max Speed kn,Mean Speed kn,LOA ft,Beam ft,Vessel Class,AIS Type,Course,Heading,Course Behavior,Yaw deg,Effective Beam ft,WDIR degT,WSPD mph,GST mph,Location,Latitude,Longitude,Transit,Condition,% Channel Occupied
2020-12-30 02:12:40,SAFMARINE MAFADI,369390000,16.9,16.5,958.0,105.0,Panamax,70,120,118,Outbound,2,138,,,,Nearshore,32.70477,-79.77196,One-way Transit,Non-adverse Condition,13.8
2020-12-30 15:35:23,LIBERTY,367125000,16.6,15.5,656.0,108.0,Panamax,79,299,303,Inbound,4,153,130.0,20.13,24.61,Offshore,32.68978,-79.74121,One-way Transit,Non-adverse Condition,15.3
2020-12-30 10:29:58,APL NEW JERSEY,636013522,16.4,16.0,961.0,131.0,Panamax,71,297,300,Inbound,3,181,,,,Nearshore,32.7223,-79.80933,One-way Transit,Non-adverse Condition,18.1
2020-12-30 14:51:56,CAPE AKRITAS,249202000,16.0,15.7,1082.0,157.0,Post-Panamax,70,120,117,Outbound,3,213,,,,Nearshore,32.70199,-79.76693,One-way Transit,Non-adverse Condition,26.62
2020-12-30 01:56:49,COSCO EXCELLENCE,477135600,15.9,15.3,1200.0,157.0,Post-Panamax,71,120,117,Outbound,3,220,,,,Nearshore,32.6911,-79.74326,One-way Transit,Non-adverse Condition,27.5
2020-12-30 07:26:52,EVER LASTING,235093618,15.0,13.7,1099.0,151.0,Post-Panamax,74,296,301,Inbound,5,246,,,,Nearshore,32.72011,-79.80633,One-way Transit,Non-adverse Condition,30.75
2020-12-30 00:00:42,NORTHERN MAJESTIC,211779000,14.6,14.0,984.0,131.0,Post-Panamax,79,122,119,Outbound,3,182,,,,Nearshore,32.69208,-79.7474,One-way Transit,Non-adverse Condition,22.75
2020-12-30 07:21:08,SPIRIT OF SYDNEY,232013525,14.3,14.2,833.0,105.0,Panamax,71,118,115,Outbound,3,148,,,,Nearshore,32.71709,-79.80065,Two-way Transit,Adverse Condition,29.6
2020-12-29 08:10:16,SAFMARINE MAFADI,369390000,17.0,15.9,958.0,105.0,Panamax,70,300,299,Inbound,1,122,300.0,13.42,15.66,Offshore,32.65775,-79.67342,Two-way Transit,Adverse Condition,24.4
2020-12-29 09:34:41,SPIRIT OF SYDNEY,232013525,16.7,13.9,833.0,105.0,Panamax,71,298,299,Inbound,1,120,10.0,8.95,13.42,Nearshore,32.72316,-79.81014,One-way Transit,Non-adverse Condition,12.0
2020-12-29 08:38:26,PRAGUE EXPRESS,218361000,16.5,15.7,1099.0,138.0,Post-Panamax,70,119,118,Outbound,1,157,310.0,15.66,20.13,Offshore,32.6786,-79.71957,One-way Transit,Non-adverse Condition,19.62
2020-12-29 22:04:57,CAPE AKRITAS,249202000,15.6,12.4,1082.0,157.0,Post-Panamax,70,300,302,Inbound,2,195,60.0,20.13,24.61,Offshore,32.66775,-79.69633,One-way Transit,Non-adverse Condition,24.38
2020-12-29 10:20:00,SPIRIT OF HAMBURG,232013520,15.3,15.0,833.0,105.0,Panamax,72,117,116,Outbound,1,120,10.0,8.95,13.42,Nearshore,32.71182,-79.78881,One-way Transit,Non-adverse Condition,12.0
2020-12-29 18:56:45,US GOV VESSEL,367370000,15.0,14.8,672.0,105.0,Panamax,70,301,302,Inbound,1,117,,,,Nearshore,32.69249,-79.74566,One-way Transit,Non-adverse Condition,11.7
2020-12-29 23:54:48,NORTHERN MAJESTIC,211779000,14.8,13.4,984.0,131.0,Post-Panamax,79,119,117,Outbound,2,165,,,,Nearshore,32.70466,-79.77161,One-way Transit,Non-adverse Condition,20.62
2020-12-28 09:38:44,PRAGUE EXPRESS,218361000,17.6,16.8,1099.0,138.0,Post-Panamax,70,299,301,Inbound,2,176,310.0,8.95,13.42,Offshore,32.68787,-79.7388,One-way Transit,Non-adverse Condition,22.0
2020-12-28 01:04:40,RIO GRANDE EXPRESS,303672000,17.2,13.4,853.0,105.0,Panamax,73,121,119,Outbound,2,135,,,,Nearshore,32.70407,-79.7718,One-way Transit,Non-adverse Condition,13.5
2020-12-28 20:23:00,COSCO EXCELLENCE,477135600,16.7,14.2,1200.0,157.0,Post-Panamax,71,299,299,Inbound,0,157,300.0,6.71,11.18,Offshore,32.65051,-79.6589,One-way Transit,Non-adverse Condition,19.62
2020-12-28 19:13:38,SPIRIT OF HAMBURG,232013520,16.5,15.9,833.0,105.0,Panamax,72,288,294,Inbound,6,191,310.0,8.95,11.18,Offshore,32.6608,-79.67984,One-way Transit,Non-adverse Condition,19.1
2020-12-27 04:54:56,MAERSK ATLANTA,338078000,16.8,16.1,981.0,131.0,Post-Panamax,71,120,118,Outbound,2,165,,,,Nearshore,32.69827,-79.76004,One-way Transit,Non-adverse Condition,20.62
2020-12-27 00:09:50,NORTHERN JAVELIN,255806169,16.5,15.8,1092.0,141.0,Post-Panamax,71,119,119,Outbound,0,141,,,,Nearshore,32.69584,-79.75472,One-way Transit,Non-adverse Condition,17.62
2020-12-27 19:38:40,HYUNDAI DREAM,441981000,16.4,13.6,1197.0,157.0,Post-Panamax,70,122,121,Outbound,1,178,180.0,2.24,6.71,Offshore,32.68693,-79.73619,One-way Transit,Non-adverse Condition,22.25
2020-12-27 00:37:36,MSC CORUNA,636092275,16.4,15.0,886.0,131.0,Panamax,79,120,120,Outbound,0,131,,,,Nearshore,32.70136,-79.76591,One-way Transit,Non-adverse Condition,13.1
2020-12-27 08:13:37,MAERSK SARNIA,563000800,16.0,15.6,1089.0,138.0,Post-Panamax,71,119,118,Outbound,1,157,,,,Nearshore,32.70952,-79.78277,One-way Transit,Non-adverse Condition,19.62
2020-12-27 02:35:52,RIO GRANDE EXPRESS,303672000,15.7,15.0,853.0,105.0,Panamax,73,299,298,Inbound,1,120,310.0,8.95,11.18,Offshore,32.68884,-79.73952,One-way Transit,Non-adverse Condition,12.0
2020-12-26 06:38:39,MAERSK SARNIA,563000800,16.7,16.2,1089.0,138.0,Post-Panamax,71,299,299,Inbound,0,138,330.0,20.13,31.32,Nearshore,32.69493,-79.7515,One-way Transit,Non-adverse Condition,17.25
2020-12-26 03:33:32,MORNING CHANT,538005333,16.7,15.9,656.0,105.0,Panamax,70,296,295,Inbound,1,116,,,,Nearshore,32.69055,-79.74212,One-way Transit,Non-adverse Condition,11.6
2020-12-26 09:44:46,MAERSK ATLANTA,338078000,16.3,15.7,981.0,131.0,Post-Panamax,71,302,297,Inbound,5,216,330.0,20.13,31.32,Nearshore,32.72201,-79.80803,One-way Transit,Non-adverse Condition,27.0
2020-12-26 13:23:33,HYUNDAI DREAM,441981000,16.2,15.9,1197.0,157.0,Post-Panamax,70,300,300,Inbound,0,157,330.0,8.95,15.66,Offshore,32.64611,-79.65003,One-way Transit,Non-adverse Condition,19.62
2020-12-26 23:59:51,NORTHERN JAVELIN,255806169,15.0,14.8,1092.0,141.0,Post-Panamax,71,120,120,Outbound,0,141,,,,Nearshore,32.71739,-79.79976,One-way Transit,Non-adverse Condition,17.62
2020-12-24 18:46:21,NORTHERN JAVELIN,255806169,18.0,15.2,1092.0,141.0,Post-Panamax,71,301,299,Inbound,2,179,170.0,29.08,35.79,Offshore,32.67991,-79.72029,One-way Transit,Non-adverse Condition,22.38
2020-12-24 00:42:29,HSL PARATY,636018193,17.7,16.0,679.0,98.0,Panamax,79,300,302,Inbound,2,122,140.0,20.13,24.61,Offshore,32.6812,-79.72317,One-way Transit,Non-adverse Condition,12.2
2020-12-24 17:45:37,SEALAND ILLINOIS,477318700,16.9,16.4,997.0,131.0,Post-Panamax,70,118,121,Outbound,3,183,,,,Nearshore,32.69453,-79.75113,One-way Transit,Non-adverse Condition,22.88
2020-12-24 02:19:42,MAERSK OHIO,367775000,16.8,16.2,958.0,105.0,Panamax,79,121,119,Outbound,2,138,,,,Nearshore,32.69883,-79.75966,One-way Transit,Non-adverse Condition,13.8
2020-12-24 22:40:35,CARMEN,266339000,16.5,16.1,758.0,105.0,Panamax,70,118,120,Outbound,2,131,,,,Nearshore,32.69534,-79.75338,One-way Transit,Non-adverse Condition,13.1
2020-12-24 10:08:59,OOCL CHONGQING,477832400,15.2,14.6,1200.0,157.0,Post-Panamax,70,302,300,Inbound,2,199,,,,Nearshore,32.69515,-79.75187,One-way Transit,Non-adverse Condition,24.88
2020-12-24 22:28:43,MSC CORUNA,636092275,15.1,14.7,886.0,131.0,Panamax,79,301,301,Inbound,0,131,,,,Nearshore,32.69549,-79.75363,Two-way Transit,Adverse Condition,26.2
2020-12-24 16:09:59,HAMBURG BAY,636016199,14.5,14.2,961.0,131.0,Panamax,70,119,119,Outbound,0,131,,,,Nearshore,32.70203,-79.76853,One-way Transit,Non-adverse Condition,13.1
2020-12-24 10:29:57,MEHUIN,636092682,14.3,13.6,1004.0,131.0,Post-Panamax,70,119,120,Outbound,1,149,,,,Nearshore,32.72097,-79.80911,Two-way Transit,Adverse Condition,37.25
2020-12-23 14:12:51,LANA,636015503,17.5,17.1,853.0,105.0,Panamax,71,121,120,Outbound,1,120,,,,Nearshore,32.6979,-79.76014,Two-way Transit,Adverse Condition,24.0
2020-12-23 14:34:56,SEALAND ILLINOIS,477318700,17.4,16.9,997.0,131.0,Post-Panamax,70,298,302,Inbound,4,200,,,,Nearshore,32.69078,-79.74398,One-way Transit,Non-adverse Condition,25.0
