Date/Time UTC,Name,MMSI,Max Speed kn,Mean Speed kn,LOA ft,Beam ft,Vessel Class,AIS Type,Course,Heading,Course Behavior,Yaw deg,Effective Beam ft,WDIR degT,WSPD mph,GST mph,Buoy Source,Location,Latitude,Longitude,Transit,% Channel Occupied
2021-01-16 23:52:38,BREMEN EXPRESS,218158000,16.3,15.7,1096.0,138.0,Post-Panamax,71,316,310,Inbound,6,252,292,21.7,29.08,41008,Nearshore,32.02902,-80.81626999999999,One-way Transit,42.0
2021-01-16 01:20:48,CCNI ANGOL,636092896,16.1,15.0,984.0,161.0,Post-Panamax,79,120,119,Outbound,1,178,227,9.17,221.46,41008,Offshore,31.98545,-80.76568,Two-way Transit,59.33
2021-01-16 02:53:49,MORNING LENA,441115000,16.0,15.0,768.0,105.0,Panamax,71,117,117,Outbound,0,105,244,15.21,20.13,41008,Offshore,31.982440000000004,-80.75816,One-way Transit,17.5
2021-01-16 02:33:32,MAERSK TUKANG,565825000,15.7,15.1,1089.0,141.0,Post-Panamax,71,318,310,Inbound,8,291,237,12.97,221.46,41008,Nearshore,32.02948,-80.81616,One-way Transit,48.5
2021-01-16 09:42:58,HAMMONIA HUSUM,636018561,13.7,12.4,689.0,98.0,Panamax,79,128,130,Outbound,2,122,299,17.67,221.46,41008,Nearshore,32.03119,-80.81898000000001,One-way Transit,20.33
2021-01-16 10:37:56,ZIM YOKOHAMA,428403000,13.4,11.7,853.0,105.0,Panamax,71,141,138,Outbound,3,149,283,15.44,221.46,41008,Nearshore,32.02933,-80.817,One-way Transit,24.83
2021-01-16 08:02:02,WASHINGTON EXPRESS,367136710,13.0,12.6,797.0,105.0,Panamax,71,298,298,Inbound,0,105,306,21.7,221.46,41008,Offshore,31.990029999999997,-80.77456,One-way Transit,17.5
2021-01-15 13:41:44,MORNING LENA,441115000,17.1,16.3,768.0,105.0,Panamax,71,320,317,Inbound,3,145,192,17.67,221.46,41008,Nearshore,32.02912,-80.81602,One-way Transit,24.17
2021-01-15 13:24:52,NORTHERN JADE,211744000,16.8,16.2,1089.0,144.0,Post-Panamax,74,300,298,Inbound,2,182,195,17.67,221.46,41008,Offshore,31.99075,-80.77601999999999,Two-way Transit,60.67
2021-01-15 13:15:54,CAPE KORTIA,249783000,16.3,15.0,1082.0,157.0,Post-Panamax,70,318,317,Inbound,1,176,195,17.67,221.46,41008,Nearshore,32.028729999999996,-80.81586999999999,One-way Transit,29.33
2021-01-15 14:45:46,MSC PARIS,636019413,16.3,15.3,1096.0,138.0,Post-Panamax,71,116,120,Outbound,4,214,193,17.22,22.37,41008,Offshore,31.98283,-80.75833,One-way Transit,35.67
2021-01-15 00:52:31,EVER FAITH,355623000,15.7,14.8,1096.0,157.0,Post-Panamax,74,310,307,Inbound,3,214,215,10.74,13.42,41008,Nearshore,32.031040000000004,-80.81916,One-way Transit,35.67
2021-01-15 02:24:48,APL GWANGYANG,566319000,15.4,14.4,1145.0,151.0,Post-Panamax,74,118,119,Outbound,1,171,229,14.54,221.46,41008,Offshore,31.98456,-80.76266,One-way Transit,28.5
2021-01-15 08:15:18,HAMMONIA HUSUM,636018561,15.4,14.6,689.0,98.0,Panamax,79,298,297,Inbound,1,110,254,17.9,221.46,41008,Offshore,31.985809999999997,-80.76505999999999,One-way Transit,18.33
2021-01-15 06:46:06,COSCO CAMELLIA,477286300,14.8,14.4,1200.0,157.0,Post-Panamax,71,128,128,Outbound,0,157,252,19.91,24.61,41008,Nearshore,32.03007,-80.81804,One-way Transit,26.17
2021-01-15 13:55:29,NYK NEBULA,354891000,14.1,12.8,968.0,105.0,Post-Panamax,71,117,120,Outbound,3,156,191,17.45,221.46,41008,Offshore,31.974559999999997,-80.74034,One-way Transit,26.0
2021-01-15 07:12:01,ZIM YOKOHAMA,428403000,13.7,13.4,853.0,105.0,Panamax,71,304,300,Inbound,4,164,256,19.69,221.46,41008,Offshore,31.986,-80.76583000000001,One-way Transit,27.33
2021-01-14 00:11:00,CCNI ANGOL,636092896,17.7,17.2,984.0,161.0,Post-Panamax,79,314,305,Inbound,9,313,268,7.61,221.46,41008,Nearshore,32.0307,-80.81781,One-way Transit,52.17
2021-01-14 00:07:12,MSC PARIS,636019413,17.5,14.1,1096.0,138.0,Post-Panamax,71,295,298,Inbound,3,195,268,7.61,221.46,41008,Offshore,31.97816,-80.74833000000001,One-way Transit,32.5
2021-01-14 19:16:32,MSC WESER,255805923,17.1,14.3,686.0,98.0,Panamax,74,132,137,Outbound,5,157,275,12.53,221.46,41008,Nearshore,32.03011,-80.8173,One-way Transit,26.17
2021-01-14 12:07:30,NYK NEBULA,354891000,16.6,15.8,968.0,105.0,Post-Panamax,71,322,321,Inbound,1,122,290,14.09,221.46,41008,Nearshore,32.02512,-80.81264,One-way Transit,20.33
2021-01-14 05:49:26,YM EXPRESS,636016705,16.0,14.5,850.0,121.0,Panamax,71,297,296,Inbound,1,136,265,16.11,20.13,41008,Offshore,31.9775,-80.7465,One-way Transit,22.67
2021-01-14 08:00:51,MSC TORONTO,255806377,15.5,14.0,1066.0,141.0,Post-Panamax,72,135,136,Outbound,1,160,280,20.58,221.46,41008,Nearshore,32.02988,-80.81737,One-way Transit,26.67
2021-01-14 02:04:00,SEROJA LIMA,357988000,14.6,13.2,1036.0,151.0,Post-Panamax,70,136,132,Outbound,4,223,295,11.86,221.46,41008,Nearshore,31.99638,-80.78601,One-way Transit,37.17
2021-01-14 13:21:40,MOL MOTIVATOR,538004117,14.5,13.2,991.0,144.0,Post-Panamax,71,141,142,Outbound,1,161,293,14.54,221.46,41008,Nearshore,32.01644,-80.80439,One-way Transit,26.83
2021-01-13 23:54:56,CCNI ANGOL,636092896,17.8,17.6,984.0,161.0,Post-Panamax,79,299,299,Inbound,0,161,265,7.83,11.18,41008,Offshore,31.97976,-80.75204000000001,One-way Transit,26.83
2021-01-13 09:29:34,APL GWANGYANG,566319000,17.3,16.9,1145.0,151.0,Post-Panamax,70,299,301,Inbound,2,191,303,6.93,221.46,41008,Offshore,31.980390000000003,-80.75384,One-way Transit,31.83
2021-01-13 04:20:38,EVER LENIENT,235102677,16.5,15.9,1099.0,151.0,Post-Panamax,74,140,141,Outbound,1,170,327,11.63,221.46,41008,Nearshore,32.02647,-80.8139,One-way Transit,28.33
2021-01-13 14:12:55,MSC TORONTO,255806377,16.2,14.7,1066.0,141.0,Post-Panamax,72,321,320,Inbound,1,160,304,7.16,221.46,41008,Nearshore,32.02476,-80.81189,One-way Transit,26.67
2021-01-13 04:03:35,YM WIND,477002200,16.1,15.4,1207.0,167.0,Post-Panamax,71,127,130,Outbound,3,230,325,11.41,221.46,41008,Nearshore,32.030640000000005,-80.81873,One-way Transit,38.33
2021-01-13 16:20:59,NYK RIGEL,371449000,16.0,13.1,964.0,105.0,Panamax,71,133,137,Outbound,4,172,276,5.37,221.46,41008,Nearshore,32.02906,-80.81608,One-way Transit,28.67
2021-01-13 02:03:45,TULANE,248265000,15.9,15.8,751.0,112.0,Panamax,70,135,134,Outbound,1,125,318,10.07,221.46,41008,Nearshore,31.9962,-80.78604,One-way Transit,20.83
2021-01-13 01:38:56,CMA CGM CHENNAI,477166300,15.5,15.2,1102.0,157.0,Post-Panamax,71,118,117,Outbound,1,176,335,9.62,221.46,41008,Offshore,31.990959999999998,-80.77646,One-way Transit,29.33
2021-01-13 06:02:58,ROTTERDAM STAR,538006564,15.4,14.1,961.0,131.0,Panamax,72,143,140,Outbound,3,181,307,8.28,221.46,41008,Nearshore,32.02228,-80.81011,One-way Transit,30.17
2021-01-13 08:50:59,COSCO CAMELLIA,477286300,15.2,14.6,1200.0,157.0,Post-Panamax,71,318,314,Inbound,4,240,324,7.38,11.18,41008,Nearshore,32.02877,-80.81581,One-way Transit,40.0
2021-01-13 08:21:39,MOL MOTIVATOR,538004117,15.2,14.6,991.0,144.0,Post-Panamax,71,317,313,Inbound,4,213,303,5.82,221.46,41008,Nearshore,32.02839,-80.8155,One-way Transit,35.5
2021-01-12 22:15:50,NYK RIGEL,371449000,16.2,15.5,964.0,105.0,Panamax,71,316,311,Inbound,5,189,317,14.32,221.46,41008,Nearshore,32.02961,-80.81691,One-way Transit,31.5
2021-01-12 00:21:42,ROTTERDAM STAR,538006564,15.8,15.0,961.0,131.0,Panamax,72,303,309,Inbound,6,231,93,8.72,221.46,41008,Offshore,31.99421,-80.78286999999999,One-way Transit,38.5
2021-01-12 01:50:56,TULANE,248265000,15.1,14.8,751.0,112.0,Panamax,70,313,313,Inbound,0,112,93,7.83,8.95,41008,Nearshore,32.02998,-80.81727,One-way Transit,18.67
2021-01-12 02:12:48,CSCL BRISBANE,477070800,14.7,14.6,853.0,105.0,Panamax,71,130,134,Outbound,4,164,106,6.26,221.46,41008,Nearshore,32.03003,-80.81749,One-way Transit,27.33
2021-01-12 17:22:39,CMA CGM BUTTERFLY,218843000,14.5,14.0,1148.0,141.0,Post-Panamax,70,135,142,Outbound,7,280,329,15.44,221.46,41008,Nearshore,32.02858,-80.81621,Two-way Transit,93.33
2021-01-12 02:32:30,HOEGH SHANGHAI,258758000,14.4,14.3,751.0,105.0,Panamax,70,126,128,Outbound,2,131,107,6.93,221.46,41008,Nearshore,32.03068,-80.8182,One-way Transit,21.83
2021-01-12 17:02:42,SEROJA LIMA,357988000,14.3,12.9,1036.0,151.0,Post-Panamax,70,298,299,Inbound,1,169,327,14.99,221.46,41008,Offshore,31.97447,-80.74056999999999,Two-way Transit,56.33
