,Class,Proportion<br>of Transits,Compliance<br>Rate,Mean<br>VSPD,Nearshore<br>Median VSPD,Offshore<br>Median VSPD,Inbound<br>Median VSPD,Outbound<br>Median VSPD,VSPD-WSPD<br>Correlation
Charleston,Panamax,38.8%,6.12%,14.07 kn,14.4 kn,14.5 kn,14.3 kn,14.7 kn,0.09
Charleston,Post-Panamax,61.2%,7.29%,13.91 kn,14.1 kn,14.5 kn,13.7 kn,14.8 kn,0.13
Charleston,Combined,100%,6.84%,13.97 kn,14.2 kn,14.5 kn,14.0 kn,14.7 kn,0.11
Savannah,Panamax,40.77%,5.44%,13.59 kn,14.0 kn,13.6 kn,14.0 kn,13.7 kn,0.08
Savannah,Post-Panamax,59.23%,3.34%,13.95 kn,14.2 kn,14.2 kn,14.3 kn,14.1 kn,0.06
Savannah,Combined,100%,4.2%,13.8 kn,14.1 kn,14.0 kn,14.2 kn,13.9 kn,0.07
